result,gf,ga,xg_x,xga,poss,sh,sot,dist,xg_y,npxg,g-xg,sota,saves,save%,att (gk),thr,psxg,psxg+/-,ast,xag,xa,kp,1/3,ppa,crspa,prgp,attempted passes,completed passes,corner kicks,shots blocked,tkl+int,err,mid 3rd,att pen,att 3rd,fls,fld,off,season,team_Aston Villa,team_Bournemouth,team_Brentford,team_Brighton and Hove Albion,team_Burnley,team_Chelsea,team_Crystal Palace,team_Everton,team_Fulham,team_Leeds United,team_Leicester City,team_Liverpool,team_Luton Town,team_Manchester City,team_Manchester United,team_Newcastle United,team_Nottingham Forest,team_Sheffield United,team_Southampton,team_Tottenham Hotspur,team_West Bromwich Albion,team_West Ham United,team_Wolverhampton Wanderers,opponent_Aston Villa,opponent_Bournemouth,opponent_Brentford,opponent_Brighton,opponent_Burnley,opponent_Chelsea,opponent_Crystal Palace,opponent_Everton,opponent_Fulham,opponent_Leeds United,opponent_Leicester City,opponent_Liverpool,opponent_Luton Town,opponent_Manchester City,opponent_Manchester Utd,opponent_Newcastle Utd,opponent_Nott'ham Forest,opponent_Sheffield Utd,opponent_Southampton,opponent_Tottenham,opponent_West Brom,opponent_West Ham,opponent_Wolves
-1,0.0,2.0,0.6,0.3,69.0,11.0,2.0,16.8,0.6,0.6,-0.6,3.0,1.0,33.3,29.0,4.0,0.9,-1.1,0,0.4,1.1,6.0,42.0,18.0,5.0,71.0,697.0,574.0,9.0,1.0,20,0.0,413.0,36.0,283.0,12.0,15.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-1,0.0,1.0,1.6,1.4,65.0,18.0,6.0,17.6,1.6,1.6,-1.6,2.0,2.0,50.0,44.0,5.0,0.3,0.3,0,1.5,1.6,16.0,42.0,12.0,2.0,59.0,634.0,501.0,13.0,3.0,20,0.0,270.0,36.0,218.0,5.0,10.0,3.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.0,1.0,0.6,1.2,36.0,9.0,4.0,22.3,0.6,0.6,0.4,3.0,2.0,66.7,21.0,7.0,0.3,-0.7,1,0.6,0.3,8.0,26.0,4.0,0.0,38.0,377.0,287.0,2.0,2.0,25,1.0,203.0,15.0,79.0,13.0,13.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-1,1.0,2.0,1.4,0.6,57.0,12.0,1.0,18.9,1.4,0.6,-0.4,2.0,1.0,0.0,21.0,6.0,0.5,-0.5,0,0.5,0.7,10.0,49.0,13.0,2.0,63.0,592.0,513.0,3.0,3.0,17,0.0,312.0,37.0,193.0,9.0,9.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3.0,1.0,2.0,2.6,40.0,14.0,6.0,17.9,2.0,1.2,1.0,3.0,1.0,66.7,17.0,4.0,2.2,1.2,1,0.6,0.5,6.0,20.0,3.0,1.0,28.0,373.0,249.0,7.0,4.0,23,0.0,164.0,23.0,130.0,13.0,10.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1.0,0.0,1.1,0.8,50.0,11.0,3.0,14.5,1.1,1.1,-0.1,2.0,2.0,100.0,37.0,8.0,0.3,0.3,1,1.0,0.6,9.0,31.0,6.0,2.0,32.0,549.0,463.0,4.0,6.0,20,1.0,308.0,15.0,112.0,4.0,11.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,4.0,0.0,3.7,1.0,61.0,21.0,11.0,15.2,3.7,3.7,0.3,3.0,3.0,100.0,27.0,7.0,0.9,0.9,3,3.1,1.6,16.0,35.0,7.0,1.0,51.0,672.0,543.0,5.0,1.0,30,0.0,305.0,32.0,185.0,4.0,7.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0.0,0.0,0.4,0.8,67.0,11.0,4.0,20.1,0.4,0.4,-0.4,2.0,2.0,100.0,25.0,7.0,0.4,0.4,0,0.3,0.7,7.0,58.0,12.0,2.0,72.0,738.0,626.0,7.0,4.0,27,0.0,404.0,24.0,226.0,11.0,11.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3.0,0.0,2.4,0.2,66.0,20.0,6.0,16.6,2.4,2.4,0.6,1.0,1.0,100.0,22.0,5.0,0.0,0.0,3,1.7,1.4,15.0,65.0,9.0,1.0,75.0,679.0,592.0,7.0,1.0,16,0.0,374.0,34.0,198.0,9.0,8.0,4.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,3.0,1.0,2.2,0.8,42.0,9.0,4.0,15.2,2.2,2.2,0.8,5.0,4.0,80.0,23.0,5.0,1.1,0.1,3,2.2,1.6,8.0,25.0,8.0,1.0,32.0,398.0,300.0,5.0,3.0,22,1.0,189.0,21.0,143.0,6.0,11.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0.0,0.0,0.9,1.6,43.0,17.0,3.0,20.8,0.9,0.9,-0.9,3.0,3.0,100.0,19.0,4.0,0.6,0.6,0,0.5,0.3,10.0,32.0,7.0,2.0,37.0,461.0,368.0,4.0,3.0,26,0.0,204.0,17.0,141.0,9.0,16.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-1,1.0,2.0,0.8,1.5,45.0,9.0,3.0,18.7,0.8,0.8,0.2,7.0,5.0,85.7,29.0,6.0,1.6,0.1,1,0.7,0.5,6.0,28.0,4.0,1.0,38.0,517.0,451.0,6.0,0.0,17,0.0,324.0,19.0,113.0,8.0,10.0,3.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-1,0.0,1.0,0.8,1.2,65.0,14.0,3.0,17.3,0.8,0.8,-0.8,8.0,7.0,87.5,14.0,6.0,2.6,1.6,0,0.6,0.9,10.0,52.0,19.0,4.0,73.0,658.0,550.0,7.0,1.0,18,1.0,324.0,41.0,245.0,12.0,11.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,4.0,2.0,2.3,0.9,46.0,12.0,4.0,19.1,2.3,1.5,1.7,5.0,3.0,60.0,32.0,11.0,1.9,-0.1,3,1.5,1.3,11.0,16.0,4.0,0.0,28.0,468.0,356.0,4.0,2.0,21,1.0,274.0,33.0,112.0,8.0,15.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-1,0.0,1.0,0.3,1.8,45.0,7.0,1.0,19.5,0.3,0.3,-0.3,3.0,2.0,66.7,33.0,6.0,1.5,0.5,0,0.2,0.4,4.0,21.0,8.0,2.0,29.0,509.0,424.0,1.0,6.0,14,2.0,234.0,18.0,104.0,11.0,8.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,3.0,1.0,2.3,0.4,56.0,11.0,3.0,18.5,2.3,1.5,0.7,3.0,2.0,66.7,28.0,5.0,0.7,-0.3,1,0.6,1.0,8.0,36.0,5.0,1.0,38.0,561.0,455.0,7.0,2.0,18,1.0,294.0,21.0,174.0,3.0,14.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,1.0,1.0,2.5,1.1,59.0,15.0,2.0,15.5,2.5,2.5,-1.5,5.0,4.0,80.0,35.0,13.0,1.5,0.5,1,1.0,0.8,8.0,29.0,13.0,2.0,48.0,648.0,520.0,3.0,0.0,17,1.0,304.0,35.0,177.0,12.0,4.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,1.7,0.4,52.0,12.0,2.0,22.5,1.7,1.0,0.3,3.0,2.0,66.7,26.0,7.0,0.8,-0.2,1,0.9,0.9,11.0,38.0,9.0,1.0,54.0,565.0,468.0,6.0,1.0,31,0.0,321.0,22.0,192.0,12.0,13.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,3.0,3.0,1.4,2.4,62.0,16.0,6.0,18.2,1.4,1.4,-0.4,5.0,2.0,40.0,19.0,1.0,2.0,-1.0,1,1.2,1.7,14.0,42.0,11.0,3.0,63.0,652.0,548.0,5.0,3.0,19,0.0,328.0,26.0,242.0,8.0,15.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-1,0.0,3.0,0.1,2.4,36.0,3.0,2.0,18.9,0.1,0.1,-0.1,7.0,4.0,57.1,23.0,4.0,2.8,-0.2,0,0.1,0.2,2.0,23.0,1.0,0.0,19.0,425.0,318.0,1.0,3.0,28,1.0,210.0,6.0,79.0,10.0,10.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
